TIME,AIRLINE,FLIGHT_NUMBER,TRANSACTION,TERMINAL,GATE,REMARK,,
2025-09-17 23:44,DELTA,DL475,ARR,1,C4,Arrived,,
2025-09-18 0:17,Avianca,AV561,DEP,I,A4,Departed,,
2025-09-18 0:24,United,UA367,ARR,3,E2,Arrived,,
2025-09-18 0:28,JetBlue,B6515,ARR,1,B5,Arrived,,
2025-09-18 0:35,Cathay Pacific,CX873,DEP,I,A2,Departed,,
2025-09-18 0:49,DELTA,DL2789,DEP,1,C9,Departed,,
2025-09-18 0:55,STARLUX Airlines,JX11,DEP,I,B5,Departed,,
2025-09-18 0:58,United,UA189,DEP,I,G2,Departed,,
2025-09-18 1:00,United,UA512,DEP,3,F11,Departed,,
2025-09-18 1:09,China Airlines,CI3,DEP,I,A5,Departed,,
2025-09-18 1:17,EVA Air,BR27,DEP,I,A9,Departed,,
2025-09-18 1:34,EVA Air,BR17,DEP,I,A10,Departed,,
2025-09-18 1:40,ANA,NH107,DEP,I,G5,Departed,,
2025-09-18 1:52,Copa Airlines,CM383,DEP,I,A12,Departed,,
2025-09-18 5:08,United,UA2420,DEP,3,E3,Departed,,
2025-09-18 5:11,United,UA1687,DEP,3,E10,Departed,,
2025-09-18 5:13,Southwest,WN564,DEP,2,D7,Departed,,
2025-09-18 5:21,Southwest,WN4119,DEP,2,D6,Departed,,
2025-09-18 5:34,United,UA1448,DEP,3,E11,Departed,,
2025-09-18 5:35,United,UA190,ARR,I,G2,Arrived,,
2025-09-18 5:43,Southwest,WN2401,DEP,2,D3,Departed,,
2025-09-18 5:47,DELTA,DL1331,DEP,1,C9,Departed,,
2025-09-18 5:48,Air India,AI173,ARR,I,G10,Arrived,,
2025-09-18 5:50,United,UA1750,ARR,3,E3,Arrived,,
2025-09-18 5:51,Frontier,F94158,DEP,I,A13,Departed,,
2025-09-18 5:53,United,UA872,ARR,I,G13,Arrived,,
2025-09-18 5:55,American,AA1198,DEP,1,B16,Departed,,
2025-09-18 5:58,United,UA1141,ARR,3,F19,Arrived,,
2025-09-18 5:59,DELTA,DL2721,DEP,1,C8,Departed,,
2025-09-18 6:00,DELTA,DL772,DEP,1,C7,Departed,,
2025-09-18 6:01,United,UA5515,ARR,3,F9,Arrived,,
2025-09-18 6:02,American,AA6404,DEP,1,B22,Departed,,
2025-09-18 6:05,DELTA,DL1598,DEP,1,C11,Departed,,
2025-09-18 6:06,United,UA806,ARR,I,G6,Arrived,,
2025-09-18 6:06,Alaska,AS3052,DEP,1,B9,Departed,,
2025-09-18 6:09,DELTA,DL2178,DEP,1,C6,Departed,,
2025-09-18 6:11,Southwest,WN1843,DEP,2,D4,Departed,,
2025-09-18 6:12,American,AA2614,DEP,1,B19,Departed,,
2025-09-18 6:16,United,UA5747,DEP,3,F8,Departed,,
2025-09-18 6:19,United,UA5846,DEP,3,F7,Departed,,
2025-09-18 6:20,Alaska,AS981,DEP,1,B8,Departed,,
2025-09-18 6:22,United,UA1724,ARR,2,D14,Arrived,,
2025-09-18 6:22,American,AA3082,DEP,1,B4,Departed,,
2025-09-18 6:24,American,AA234,DEP,1,B24,Departed,,
2025-09-18 6:26,United,UA1712,DEP,2,D14,Departed,,
2025-09-18 6:26,DELTA,DL570,DEP,1,C5,Departed,,
2025-09-18 6:28,JetBlue,B6116,DEP,1,B5,Departed,,
2025-09-18 6:33,Alaska,AS3206,DEP,1,B2,Departed,,
2025-09-18 6:34,United,UA2025,DEP,2,D8,Departed,,
2025-09-18 6:36,American,AA2161,DEP,1,B26,Departed,,
2025-09-18 6:41,United,UA587,DEP,3,F22,Departed,,
2025-09-18 6:42,Frontier,F91230,DEP,I,A14,Departed,,
2025-09-18 6:43,United,UA5460,ARR,3,F8,Arrived,,
2025-09-18 6:46,EVA Air,BR8,ARR,I,G9,Arrived,,
2025-09-18 6:49,United,UA870,ARR,I,G7,Arrived,,
2025-09-18 6:52,United,UA916,ARR,I,G5,Arrived,,
2025-09-18 6:53,American,AA3247,DEP,1,B25,Departed,,
2025-09-18 6:54,United,UA5381,DEP,3,F6,Departed,,
2025-09-18 6:55,United,UA4724,ARR,3,F7,Arrived,,
2025-09-18 7:00,United,UA2322,ARR,3,F11,Arrived,,
2025-09-18 7:02,United,UA2492,ARR,2,D5,Arrived,,
2025-09-18 7:05,United,UA4781,ARR,3,F6,Arrived,,
2025-09-18 7:07,United,UA1358,DEP,2,D16,Departed,,
2025-09-18 7:08,United,UA1355,ARR,2,D8,Arrived,,
2025-09-18 7:09,United,UA2145,DEP,3,E4,Departed,,
2025-09-18 7:11,United,UA2647,ARR,3,E11,Arrived,,
2025-09-18 7:12,United,UA5338,ARR,3,F10,Arrived,,
2025-09-18 7:12,American,AA1960,DEP,1,B23,Departed,,
2025-09-18 7:13,United,UA717,ARR,3,E4,Arrived,,
2025-09-18 7:14,United,UA1107,DEP,3,E13,Departed,,
2025-09-18 7:15,United,UA2363,ARR,2,D10,Arrived,,
2025-09-18 7:16,Alaska,AS789,DEP,1,B18,Departed,,
2025-09-18 7:16,Alaska,AS1043,DEP,1,B7,Departed,,
2025-09-18 7:17,United,UA496,DEP,3,F20,Departed,,
2025-09-18 7:18,United,UA1508,ARR,3,E13,Arrived,,
2025-09-18 7:18,United,UA4657,ARR,3,F9,Arrived,,
2025-09-18 7:19,Alaska,AS912,DEP,1,B21,Departed,,
2025-09-18 7:19,Alaska,AS368,DEP,1,B14,Departed,,
2025-09-18 7:20,United,UA1027,DEP,3,E9,Departed,,
2025-09-18 7:22,American,AA2904,DEP,1,B15,Departed,,
2025-09-18 7:22,United,UA5937,DEP,3,F9,Departed,,
2025-09-18 7:23,United,UA2203,ARR,3,F20,Arrived,,
2025-09-18 7:24,Air Canada,AC8841,DEP,2,D12,Departed,,
2025-09-18 7:25,United,UA2367,ARR,2,D16,Arrived,,
2025-09-18 7:26,United,UA1149,DEP,3,F11,Departed,,
2025-09-18 7:27,Alaska,AS513,ARR,1,B18,Arrived,,
2025-09-18 7:27,DELTA,DL1421,ARR,1,C6,Arrived,,
2025-09-18 7:29,Alaska,AS512,DEP,1,B12,Departed,,
2025-09-18 7:29,Alaska,AS3323,DEP,1,C1,Departed,,
2025-09-18 7:30,United,UA500,ARR,3,E9,Arrived,,
2025-09-18 7:30,United,UA1697,ARR,3,E10,Arrived,,
2025-09-18 7:31,United,UA1260,DEP,2,D10,Departed,,
2025-09-18 7:31,DELTA,DL405,DEP,1,C9,Departed,,
2025-09-18 7:32,United,UA1851,ARR,3,F5,Arrived,,
2025-09-18 7:33,Southwest,WN2301,DEP,2,D7,Departed,,
2025-09-18 7:34,Alaska,AS613,ARR,1,B21,Arrived,,
2025-09-18 7:34,Southwest,WN2255,ARR,2,D4,Arrived,,
2025-09-18 7:41,JetBlue,B6434,DEP,1,B6,Departed,,
2025-09-18 7:43,WestJet,WS1521,DEP,1,C10,Departed,,
2025-09-18 7:56,American,AA6263,ARR,1,B22,Arrived,,
2025-09-18 7:57,Alaska,AS292,DEP,1,B9,Departed,,
2025-09-18 7:58,United,UA61,ARR,I,G2,Arrived,,
2025-09-18 8:00,DELTA,DL640,DEP,1,C8,Departed,,
2025-09-18 8:03,American,AA3250,DEP,1,B22,Departed,,
2025-09-18 8:05,Alaska,AS3251,ARR,1,B9,Arrived,,
2025-09-18 8:08,JetBlue,B6316,DEP,1,B20,Departed,,
2025-09-18 8:09,United,UA5736,ARR,3,F8,Arrived,,
2025-09-18 8:10,Alaska,AS1410,DEP,1,B8,Departed,,
2025-09-18 8:11,United,UA2153,ARR,3,F14,Arrived,,
2025-09-18 8:13,Air Canada,AC744,DEP,2,D11,Departed,,
2025-09-18 8:14,United,UA433,ARR,3,F19,Arrived,,
2025-09-18 8:15,American,AA1949,DEP,1,B24,Departed,,
2025-09-18 8:16,United,UA858,ARR,I,G6,Arrived,,
2025-09-18 8:17,United,UA862,ARR,I,G8,Arrived,,
2025-09-18 8:18,Alaska,AS1169,DEP,1,B2,Departed,,
2025-09-18 8:19,Frontier,F93801,ARR,I,A13,Arrived,,
2025-09-18 8:19,United,UA5596,ARR,I,G11,Arrived,,
2025-09-18 8:22,United,UA5811,ARR,3,F7,Arrived,,
2025-09-18 8:22,United,UA4683,ARR,3,F9,Arrived,,
2025-09-18 8:23,Alaska,AS3450,DEP,1,B17,Departed,,
2025-09-18 8:25,United,UA4678,ARR,3,F6,Arrived,,
2025-09-18 8:25,United,UA5855,ARR,3,E2,Arrived,,
2025-09-18 8:26,United,UA5560,DEP,3,F8,Departed,,
2025-09-18 8:27,DELTA,DL920,ARR,1,C5,Arrived,,
2025-09-18 8:27,United,UA1245,ARR,2,D14,Arrived,,
2025-09-18 8:29,Southwest,WN1232,DEP,2,D1,Departed,,
2025-09-18 8:30,United,UA820,ARR,I,G12,Arrived,,
2025-09-18 8:30,American,AA76,ARR,1,B24,Arrived,,
2025-09-18 8:33,United,UA2492,DEP,2,D14,Departed,,
2025-09-18 8:34,Alaska,AS425,DEP,1,B13,Departed,,
2025-09-18 8:34,United,UA5549,ARR,3,F10,Arrived,,
2025-09-18 8:35,United,UA784,DEP,2,D9,Departed,,
2025-09-18 8:37,United,UA336,ARR,3,E7,Arrived,,
2025-09-18 8:38,United,UA565,ARR,3,F21,Arrived,,
2025-09-18 8:38,United,UA1595,DEP,3,E11,Departed,,
2025-09-18 8:39,China Eastern,MU589,ARR,I,A6,Arrived,,
2025-09-18 8:40,United,UA5394,DEP,3,F9,Departed,,
2025-09-18 8:41,United,UA5702,DEP,3,F7,Departed,,
2025-09-18 8:42,United,UA2115,ARR,3,F16,Arrived,,
2025-09-18 8:42,United,UA1849,DEP,3,F15,Departed,,
2025-09-18 8:43,United,UA876,ARR,I,G4,Arrived,,
2025-09-18 8:44,United,UA2027,ARR,2,D8,Arrived,,
2025-09-18 8:44,United,UA5918,DEP,3,F6,Departed,,
2025-09-18 8:47,DELTA,DL400,DEP,1,C4,Departed,,
2025-09-18 8:47,Air Canada,AC760,DEP,1,C7,Departed,,
2025-09-18 8:47,United,UA1922,DEP,3,F14,Departed,,
2025-09-18 8:48,United,UA488,ARR,2,D9,Arrived,,
2025-09-18 8:48,JetBlue,B6115,ARR,1,B6,Arrived,,
2025-09-18 8:49,United,UA1531,DEP,3,F16,Departed,,
