,charging_station,c3,c4,c5,c6,c7,c8,c9,c10,c11,AMR_depot
charging_station,0.0,0.504,0.504,0.36,0.36,0.216,0.432,0.28800000000000003,0.504,0.36,0.72
c3,0.504,0.0,0.28800000000000003,0.14400000000000002,0.432,0.28800000000000003,0.504,0.36,0.5760000000000001,0.432,0.7919999999999999
c4,0.504,0.28800000000000003,0.0,0.14400000000000002,0.14400000000000002,0.28800000000000003,0.216,0.36,0.28800000000000003,0.432,0.6479999999999999
c5,0.36,0.14400000000000002,0.14400000000000002,0.0,0.28800000000000003,0.14400000000000002,0.36,0.216,0.432,0.28800000000000003,0.6479999999999999
c6,0.36,0.432,0.14400000000000002,0.28800000000000003,0.0,0.14400000000000002,0.07200000000000001,0.216,0.14400000000000002,0.28800000000000003,0.504
c7,0.216,0.28800000000000003,0.28800000000000003,0.14400000000000002,0.14400000000000002,0.0,0.216,0.07200000000000001,0.28800000000000003,0.14400000000000002,0.504
c8,0.432,0.504,0.216,0.36,0.07200000000000001,0.216,0.0,0.14400000000000002,0.07200000000000001,0.216,0.432
c9,0.28800000000000003,0.36,0.36,0.216,0.216,0.07200000000000001,0.14400000000000002,0.0,0.216,0.07200000000000001,0.432
c10,0.504,0.5760000000000001,0.28800000000000003,0.432,0.14400000000000002,0.28800000000000003,0.07200000000000001,0.216,0.0,0.14400000000000002,0.36
c11,0.36,0.432,0.432,0.28800000000000003,0.28800000000000003,0.14400000000000002,0.216,0.07200000000000001,0.14400000000000002,0.0,0.36
AMR_depot,0.72,0.7919999999999999,0.6479999999999999,0.6479999999999999,0.504,0.504,0.432,0.432,0.36,0.36,0.0
