FL_DATE,TAIL_NUM,ORIGIN,DEST,NEXT_DIST,GATE_DURATION_min,CRS_GATE_DURATION_min,ARR_TIME,DEPT_TIME,GATE
2025-01-01,N270AK,JFK,SFO,JFK,630.0,636.0,2025-01-01 00:11:00,2025-01-01 10:41:00,C8
2025-01-01,N383FR,DEN,SFO,DEN,296.0,298.0,2025-01-01 01:02:00,2025-01-01 05:58:00,C5
2025-01-01,N145SY,SBP,SFO,AUS,40.0,49.0,2025-01-01 06:51:00,2025-01-01 07:31:00,C9
2025-01-01,N37354,LIH,SFO,LIH,698.0,706.0,2025-01-01 06:52:00,2025-01-01 18:30:00,C6
2025-01-01,N313FR,PHX,SFO,LAX,54.0,62.0,2025-01-01 07:02:00,2025-01-01 07:56:00,C11
2025-01-01,N154SY,ABQ,SFO,ONT,72.0,77.0,2025-01-01 07:08:00,2025-01-01 08:20:00,C7
2025-01-01,N103SY,BFL,SFO,BOI,86.0,91.0,2025-01-01 07:09:00,2025-01-01 08:35:00,C5
2025-01-01,N121SY,SBA,SFO,ABQ,127.0,137.0,2025-01-01 07:13:00,2025-01-01 09:20:00,C4
2025-01-01,N118SY,MFR,SFO,RNO,81.0,86.0,2025-01-01 07:14:00,2025-01-01 08:35:00,C3
2025-01-01,N17328,PDX,SFO,PHL,91.0,95.0,2025-01-01 07:15:00,2025-01-01 08:46:00,C10
2025-01-01,N37540,SEA,SFO,LAS,905.0,909.0,2025-01-01 07:16:00,2025-01-01 22:21:00,UNASSIGNED
2025-01-01,N479CA,SLC,SFO,RDD,80.0,85.0,2025-01-01 07:20:00,2025-01-01 08:40:00,UNASSIGNED
2025-01-01,N84378,BOI,SFO,SAT,112.0,120.0,2025-01-01 07:28:00,2025-01-01 09:20:00,UNASSIGNED
2025-01-01,N150SY,ONT,SFO,MCI,88.0,97.0,2025-01-01 07:33:00,2025-01-01 09:01:00,C9
2025-01-01,N184SY,PDX,SFO,BUR,58.0,59.0,2025-01-01 07:38:00,2025-01-01 08:36:00,UNASSIGNED
2025-01-01,N17550,IAH,SFO,PDX,51.0,46.0,2025-01-01 07:39:00,2025-01-01 08:30:00,UNASSIGNED
2025-01-01,N629QX,LAX,SFO,PAE,36.0,34.0,2025-01-01 07:40:00,2025-01-01 08:16:00,UNASSIGNED
2025-01-01,N77576,AUS,SFO,RDU,196.0,91.0,2025-01-01 07:46:00,2025-01-01 11:02:00,UNASSIGNED
2025-01-01,N77536,SAN,SFO,ATL,76.0,77.0,2025-01-01 07:48:00,2025-01-01 09:04:00,UNASSIGNED
2025-01-01,N153SY,EUG,SFO,TUS,33.0,33.0,2025-01-01 07:52:00,2025-01-01 08:25:00,UNASSIGNED
2025-01-01,N796SK,RDM,SFO,SLC,37.0,36.0,2025-01-01 07:54:00,2025-01-01 08:31:00,UNASSIGNED
2025-01-01,N37700,LAX,SFO,LAX,81.0,89.0,2025-01-01 08:00:00,2025-01-01 09:21:00,C11
2025-01-01,N105SY,ACV,SFO,MSP,85.0,89.0,2025-01-01 08:01:00,2025-01-01 09:26:00,UNASSIGNED
2025-01-01,N87364,PSC,SFO,PSC,80.0,89.0,2025-01-01 08:06:00,2025-01-01 09:26:00,UNASSIGNED
2025-01-01,N351FR,DEN,SFO,BUR,43.0,53.0,2025-01-01 08:07:00,2025-01-01 08:50:00,UNASSIGNED
2025-01-01,N14106,DEN,SFO,EWR,66.0,46.0,2025-01-01 08:09:00,2025-01-01 09:15:00,UNASSIGNED
2025-01-01,N402SY,PSP,SFO,PSP,51.0,54.0,2025-01-01 08:27:00,2025-01-01 09:18:00,C7
2025-01-01,N411SY,SNA,SFO,SNA,41.0,52.0,2025-01-01 08:30:00,2025-01-01 09:11:00,UNASSIGNED
2025-01-01,N167SY,RNO,SFO,OTH,117.0,122.0,2025-01-01 08:33:00,2025-01-01 10:30:00,UNASSIGNED
2025-01-01,N77525,SNA,SFO,SBA,121.0,126.0,2025-01-01 08:42:00,2025-01-01 10:43:00,C5
2025-01-01,N142SY,PSP,SFO,SNA,267.0,268.0,2025-01-01 08:50:00,2025-01-01 13:17:00,C3
2025-01-01,N8851Q,LAX,SFO,DEN,66.0,59.0,2025-01-01 08:56:00,2025-01-01 10:02:00,C10
2025-01-01,N57868,ORD,SFO,ORD,117.0,103.0,2025-01-01 08:57:00,2025-01-01 10:54:00,UNASSIGNED
2025-01-01,N606UX,MRY,SFO,ACV,32.0,35.0,2025-01-01 09:00:00,2025-01-01 09:32:00,UNASSIGNED
2025-01-01,N39416,BWI,SFO,DEN,124.0,118.0,2025-01-01 09:02:00,2025-01-01 11:06:00,C9
2025-01-01,N323DU,SLC,SFO,SLC,62.0,72.0,2025-01-01 09:03:00,2025-01-01 10:05:00,UNASSIGNED
2025-01-01,N142DU,SEA,SFO,SEA,82.0,82.0,2025-01-01 09:13:00,2025-01-01 10:35:00,UNASSIGNED
2025-01-01,N77538,SAN,SFO,PDX,100.0,81.0,2025-01-01 09:15:00,2025-01-01 10:55:00,UNASSIGNED
2025-01-01,N114SY,TUS,SFO,GEG,721.0,731.0,2025-01-01 09:19:00,2025-01-01 21:20:00,C7
