time,unit_id,kind,event,task,wait_time,n,flight_id,t_start,src,dst,path,duration,charger,queue_time
0.0,Fleet_GPU,GPU,dispatch_success,GPU,0.0,1.0,,,,,,,,
0.0,Fleet_FUEL,FUEL,dispatch_success,FUEL,0.0,1.0,,,,,,,,
0.0,Fleet_WATER,WATER,dispatch_success,WATER,0.0,1.0,,,,,,,,
0.0,Fleet_CLEAN,CLEAN,dispatch_success,CLEAN,0.0,1.0,,,,,,,,
0.0,Fleet_CATERING,CATERING,dispatch_success,CATERING,0.0,1.0,,,,,,,,
0.0,Fleet_BAGGAGE,BAGGAGE,dispatch_success,BAGGAGE_OUT,0.0,1.0,,,,,,,,
0.0,FUEL_3,FUEL,dispatch_assigned,FUEL,,,FL000,,,,,,,
0.0,WATER_0,WATER,dispatch_assigned,WATER,,,FL000,,,,,,,
0.0,CLEAN_6,CLEAN,dispatch_assigned,CLEAN,,,FL000,,,,,,,
0.0,CATERING_3,CATERING,dispatch_assigned,CATERING,,,FL000,,,,,,,
0.0,BAGGAGE_7,BAGGAGE,dispatch_assigned,BAGGAGE_OUT,,,FL000,,,,,,,
0.0,Fleet_BAGGAGE,BAGGAGE,dispatch_success,BAGGAGE_IN,0.0,1.0,,,,,,,,
0.0,BAGGAGE_8,BAGGAGE,dispatch_assigned,BAGGAGE_IN,,,FL000,,,,,,,
0.4,GPU_4,GPU,travel_end,,,,FL000,0.0,depot,c8,"[(3, 2), (3, 0), (5, 0)]",,,
0.4,FUEL_3,FUEL,travel_end,,,,FL000,0.0,depot,c8,"[(3, 2), (3, 0), (5, 0)]",,,
0.4,WATER_0,WATER,travel_end,,,,FL000,0.0,depot,c8,"[(3, 2), (3, 0), (5, 0)]",,,
0.4,CLEAN_6,CLEAN,travel_end,,,,FL000,0.0,depot,c8,"[(3, 2), (3, 0), (5, 0)]",,,
0.4,CATERING_3,CATERING,travel_end,,,,FL000,0.0,depot,c8,"[(3, 2), (3, 0), (5, 0)]",,,
0.4,BAGGAGE_7,BAGGAGE,travel_end,,,,FL000,0.0,depot,c8,"[(3, 2), (3, 0), (5, 0)]",,,
0.4,BAGGAGE_8,BAGGAGE,travel_end,,,,FL000,0.0,depot,c8,"[(3, 2), (3, 0), (5, 0)]",,,
0.4,GPU_4,GPU,gpu_arrived_signal,,,,FL000,,,,,,,
0.4,FUEL_3,FUEL,gpu_wait_over,,0.0,,FL000,,,,,,,
0.4,WATER_0,WATER,gpu_wait_over,,0.0,,FL000,,,,,,,
0.4,CLEAN_6,CLEAN,gpu_wait_over,,0.0,,FL000,,,,,,,
0.4,CATERING_3,CATERING,gpu_wait_over,,0.0,,FL000,,,,,,,
0.4,BAGGAGE_7,BAGGAGE,gpu_wait_over,,0.0,,FL000,,,,,,,
0.4,BAGGAGE_8,BAGGAGE,gpu_wait_over,,0.0,,FL000,,,,,,,
10.4,WATER_0,WATER,service_end,WATER,,,FL000,0.4,,,,10.0,,
10.8,WATER_0,WATER,travel_end,,,,,10.4,c8,depot,"[(5, 0), (3, 0), (3, 2)]",,,
15.4,FUEL_3,FUEL,service_end,FUEL,,,FL000,0.4,,,,15.0,,
15.8,FUEL_3,FUEL,travel_end,,,,,15.4,c8,depot,"[(5, 0), (3, 0), (3, 2)]",,,
20.4,BAGGAGE_7,BAGGAGE,service_end,BAGGAGE_OUT,,,FL000,0.4,,,,20.0,,
20.4,BAGGAGE_7,BAGGAGE,bag_out_done_signal,,,,FL000,,,,,,,
20.4,BAGGAGE_8,BAGGAGE,bag_out_wait_over,,20.0,,FL000,,,,,,,
20.799999999999997,BAGGAGE_7,BAGGAGE,travel_end,,,,,20.4,c8,depot,"[(5, 0), (3, 0), (3, 2)]",,,
25.4,CLEAN_6,CLEAN,service_end,CLEAN,,,FL000,0.4,,,,25.0,,
25.4,CATERING_3,CATERING,service_end,CATERING,,,FL000,0.4,,,,25.0,,
25.799999999999997,CLEAN_6,CLEAN,travel_end,,,,,25.4,c8,depot,"[(5, 0), (3, 0), (3, 2)]",,,
25.799999999999997,CATERING_3,CATERING,travel_end,,,,,25.4,c8,depot,"[(5, 0), (3, 0), (3, 2)]",,,
40.4,BAGGAGE_8,BAGGAGE,service_end,BAGGAGE_IN,,,FL000,20.4,,,,20.0,,
40.8,BAGGAGE_8,BAGGAGE,travel_end,,,,,40.4,c8,depot,"[(5, 0), (3, 0), (3, 2)]",,,
40.8,GPU_4,GPU,travel_end,,,,,40.4,c8,depot,"[(5, 0), (3, 0), (3, 2)]",,,
51.0,Fleet_GPU,GPU,dispatch_success,GPU,0.0,1.0,,,,,,,,
51.0,Fleet_FUEL,FUEL,dispatch_success,FUEL,0.0,1.0,,,,,,,,
51.0,Fleet_WATER,WATER,dispatch_success,WATER,0.0,1.0,,,,,,,,
51.0,Fleet_CLEAN,CLEAN,dispatch_success,CLEAN,0.0,1.0,,,,,,,,
51.0,Fleet_CATERING,CATERING,dispatch_success,CATERING,0.0,1.0,,,,,,,,
51.0,Fleet_BAGGAGE,BAGGAGE,dispatch_success,BAGGAGE_OUT,0.0,1.0,,,,,,,,
51.0,FUEL_3,FUEL,dispatch_assigned,FUEL,,,FL001,,,,,,,
51.0,WATER_0,WATER,dispatch_assigned,WATER,,,FL001,,,,,,,
51.0,CLEAN_6,CLEAN,dispatch_assigned,CLEAN,,,FL001,,,,,,,
51.0,CATERING_3,CATERING,dispatch_assigned,CATERING,,,FL001,,,,,,,
51.0,BAGGAGE_7,BAGGAGE,dispatch_assigned,BAGGAGE_OUT,,,FL001,,,,,,,
51.0,Fleet_BAGGAGE,BAGGAGE,dispatch_success,BAGGAGE_IN,0.0,1.0,,,,,,,,
51.0,BAGGAGE_8,BAGGAGE,dispatch_assigned,BAGGAGE_IN,,,FL001,,,,,,,
51.3,GPU_4,GPU,travel_end,,,,FL001,51.0,depot,c5,"[(3, 2), (3, 4), (2, 4)]",,,
51.3,FUEL_3,FUEL,travel_end,,,,FL001,51.0,depot,c5,"[(3, 2), (3, 4), (2, 4)]",,,
51.3,WATER_0,WATER,travel_end,,,,FL001,51.0,depot,c5,"[(3, 2), (3, 4), (2, 4)]",,,
51.3,CLEAN_6,CLEAN,travel_end,,,,FL001,51.0,depot,c5,"[(3, 2), (3, 4), (2, 4)]",,,
51.3,CATERING_3,CATERING,travel_end,,,,FL001,51.0,depot,c5,"[(3, 2), (3, 4), (2, 4)]",,,
51.3,BAGGAGE_7,BAGGAGE,travel_end,,,,FL001,51.0,depot,c5,"[(3, 2), (3, 4), (2, 4)]",,,
51.3,BAGGAGE_8,BAGGAGE,travel_end,,,,FL001,51.0,depot,c5,"[(3, 2), (3, 4), (2, 4)]",,,
51.3,GPU_4,GPU,gpu_arrived_signal,,,,FL001,,,,,,,
51.3,FUEL_3,FUEL,gpu_wait_over,,0.0,,FL001,,,,,,,
51.3,WATER_0,WATER,gpu_wait_over,,0.0,,FL001,,,,,,,
51.3,CLEAN_6,CLEAN,gpu_wait_over,,0.0,,FL001,,,,,,,
51.3,CATERING_3,CATERING,gpu_wait_over,,0.0,,FL001,,,,,,,
51.3,BAGGAGE_7,BAGGAGE,gpu_wait_over,,0.0,,FL001,,,,,,,
51.3,BAGGAGE_8,BAGGAGE,gpu_wait_over,,0.0,,FL001,,,,,,,
61.3,WATER_0,WATER,service_end,WATER,,,FL001,51.3,,,,10.0,,
61.599999999999994,WATER_0,WATER,travel_end,,,,,61.3,c5,depot,"[(2, 4), (3, 4), (3, 2)]",,,
66.3,FUEL_3,FUEL,service_end,FUEL,,,FL001,51.3,,,,15.0,,
66.6,FUEL_3,FUEL,travel_end,,,,,66.3,c5,depot,"[(2, 4), (3, 4), (3, 2)]",,,
71.3,BAGGAGE_7,BAGGAGE,service_end,BAGGAGE_OUT,,,FL001,51.3,,,,20.0,,
71.3,BAGGAGE_7,BAGGAGE,bag_out_done_signal,,,,FL001,,,,,,,
71.3,BAGGAGE_8,BAGGAGE,bag_out_wait_over,,20.0,,FL001,,,,,,,
71.6,BAGGAGE_7,BAGGAGE,travel_end,,,,,71.3,c5,depot,"[(2, 4), (3, 4), (3, 2)]",,,
76.3,CLEAN_6,CLEAN,service_end,CLEAN,,,FL001,51.3,,,,25.0,,
76.3,CATERING_3,CATERING,service_end,CATERING,,,FL001,51.3,,,,25.0,,
76.6,CLEAN_6,CLEAN,travel_end,,,,,76.3,c5,depot,"[(2, 4), (3, 4), (3, 2)]",,,
76.6,CATERING_3,CATERING,travel_end,,,,,76.3,c5,depot,"[(2, 4), (3, 4), (3, 2)]",,,
91.3,BAGGAGE_8,BAGGAGE,service_end,BAGGAGE_IN,,,FL001,71.3,,,,20.0,,
91.6,BAGGAGE_8,BAGGAGE,travel_end,,,,,91.3,c5,depot,"[(2, 4), (3, 4), (3, 2)]",,,
91.6,GPU_4,GPU,travel_end,,,,,91.3,c5,depot,"[(2, 4), (3, 4), (3, 2)]",,,
400.0,Fleet_GPU,GPU,dispatch_success,GPU,0.0,1.0,,,,,,,,
400.0,Fleet_FUEL,FUEL,dispatch_success,FUEL,0.0,1.0,,,,,,,,
