time,flight_id,event,gate,wait_time,task,duration
0.0,FL000,gate_queued,c8,,,
0.0,FL000,gate_start,c8,0.0,,
10.4,FL000,task_completed,,,WATER,
15.4,FL000,task_completed,,,FUEL,
20.4,FL000,task_completed,,,BAGGAGE_OUT,
25.4,FL000,task_completed,,,CLEAN,
25.4,FL000,task_completed,,,CATERING,
40.4,FL000,task_completed,,,BAGGAGE_IN,
40.4,FL000,task_completed,,,GPU,
40.4,FL000,gate_end,c8,,,40.4
51.0,FL001,gate_queued,c5,,,
51.0,FL001,gate_start,c5,0.0,,
61.3,FL001,task_completed,,,WATER,
66.3,FL001,task_completed,,,FUEL,
71.3,FL001,task_completed,,,BAGGAGE_OUT,
76.3,FL001,task_completed,,,CLEAN,
76.3,FL001,task_completed,,,CATERING,
91.3,FL001,task_completed,,,BAGGAGE_IN,
91.3,FL001,task_completed,,,GPU,
91.3,FL001,gate_end,c5,,,40.3
400.0,FL002,gate_queued,c9,,,
400.0,FL002,gate_start,c9,0.0,,
401.0,FL003,gate_queued,c6,,,
401.0,FL003,gate_start,c6,0.0,,
410.5,FL002,task_completed,,,WATER,
411.0,FL004,gate_queued,c11,,,
411.0,FL004,gate_start,c11,0.0,,
411.3,FL003,task_completed,,,WATER,
415.5,FL002,task_completed,,,FUEL,
416.3,FL003,task_completed,,,FUEL,
417.0,FL005,gate_queued,c7,,,
417.0,FL005,gate_start,c7,0.0,,
418.0,FL006,gate_queued,c5,,,
418.0,FL006,gate_start,c5,0.0,,
420.5,FL002,task_completed,,,BAGGAGE_OUT,
421.3,FL003,task_completed,,,BAGGAGE_OUT,
421.7,FL004,task_completed,,,WATER,
422.0,FL007,gate_queued,c4,,,
422.0,FL007,gate_start,c4,0.0,,
423.0,FL008,gate_queued,c3,,,
423.0,FL008,gate_start,c3,0.0,,
424.0,FL009,gate_queued,c10,,,
424.0,FL009,gate_start,c10,0.0,,
425.5,FL002,task_completed,,,CLEAN,
425.5,FL002,task_completed,,,CATERING,
426.3,FL003,task_completed,,,CLEAN,
426.3,FL003,task_completed,,,CATERING,
426.7,FL004,task_completed,,,FUEL,
427.3,FL005,task_completed,,,WATER,
428.3,FL006,task_completed,,,WATER,
431.7,FL004,task_completed,,,BAGGAGE_OUT,
432.3,FL005,task_completed,,,FUEL,
432.5,FL007,task_completed,,,WATER,
433.3,FL006,task_completed,,,FUEL,
433.5,FL008,task_completed,,,WATER,
436.7,FL004,task_completed,,,CLEAN,
436.7,FL004,task_completed,,,CATERING,
437.3,FL005,task_completed,,,BAGGAGE_OUT,
437.5,FL007,task_completed,,,FUEL,
438.20000000000084,FL009,task_completed,,,WATER,
438.3,FL006,task_completed,,,BAGGAGE_OUT,
438.5,FL008,task_completed,,,FUEL,
440.5,FL002,task_completed,,,BAGGAGE_IN,
440.5,FL002,task_completed,,,GPU,
440.5,FL002,gate_end,c9,,,40.5
441.3,FL003,task_completed,,,BAGGAGE_IN,
441.3,FL003,task_completed,,,GPU,
441.3,FL003,gate_end,c6,,,40.30000000000001
442.0,FL010,gate_queued,c9,,,
442.0,FL010,gate_start,c9,0.0,,
442.3,FL005,task_completed,,,CLEAN,
442.3,FL005,task_completed,,,CATERING,
442.5,FL007,task_completed,,,BAGGAGE_OUT,
443.0000000000008,FL009,task_completed,,,FUEL,
443.3,FL006,task_completed,,,CLEAN,
443.3,FL006,task_completed,,,CATERING,
443.5,FL008,task_completed,,,BAGGAGE_OUT,
447.5,FL007,task_completed,,,CLEAN,
447.5,FL007,task_completed,,,CATERING,
448.5,FL008,task_completed,,,CLEAN,
448.5,FL008,task_completed,,,CATERING,
449.6,FL009,task_completed,,,CLEAN,
449.6,FL009,task_completed,,,CATERING,
451.7,FL004,task_completed,,,BAGGAGE_IN,
451.7,FL004,task_completed,,,GPU,
451.7,FL004,gate_end,c11,,,40.69999999999999
452.5,FL010,task_completed,,,WATER,
453.00000000000193,FL009,task_completed,,,BAGGAGE_OUT,
457.3,FL005,task_completed,,,BAGGAGE_IN,
457.3,FL005,task_completed,,,GPU,
457.3,FL005,gate_end,c7,,,40.30000000000001
457.5,FL010,task_completed,,,FUEL,
458.3,FL006,task_completed,,,BAGGAGE_IN,
458.3,FL006,task_completed,,,GPU,
458.3,FL006,gate_end,c5,,,40.30000000000001
462.5,FL007,task_completed,,,BAGGAGE_IN,
462.5,FL010,task_completed,,,BAGGAGE_OUT,
462.5,FL007,task_completed,,,GPU,
462.5,FL007,gate_end,c4,,,40.5
463.5,FL008,task_completed,,,BAGGAGE_IN,
463.5,FL008,task_completed,,,GPU,
463.5,FL008,gate_end,c3,,,40.5
467.5,FL010,task_completed,,,CLEAN,
467.5,FL010,task_completed,,,CATERING,
469.0,FL011,gate_queued,c11,,,
469.0,FL011,gate_start,c11,0.0,,
473.00000000000193,FL009,task_completed,,,BAGGAGE_IN,
473.00000000000193,FL009,task_completed,,,GPU,
473.00000000000193,FL009,gate_end,c10,,,49.00000000000193
479.7,FL011,task_completed,,,WATER,
482.5,FL010,task_completed,,,BAGGAGE_IN,
482.5,FL010,task_completed,,,GPU,
482.5,FL010,gate_end,c9,,,40.5
484.7,FL011,task_completed,,,FUEL,
489.7,FL011,task_completed,,,BAGGAGE_OUT,
494.7,FL011,task_completed,,,CLEAN,
494.7,FL011,task_completed,,,CATERING,
496.0,FL012,gate_queued,c7,,,
496.0,FL012,gate_start,c7,0.0,,
506.3,FL012,task_completed,,,WATER,
509.7,FL011,task_completed,,,BAGGAGE_IN,
509.7,FL011,task_completed,,,GPU,
509.7,FL011,gate_end,c11,,,40.69999999999999
511.0,FL013,gate_queued,c5,,,
511.0,FL013,gate_start,c5,0.0,,
511.3,FL012,task_completed,,,FUEL,
516.3,FL012,task_completed,,,BAGGAGE_OUT,
519.0,FL014,gate_queued,c3,,,
519.0,FL014,gate_start,c3,0.0,,
521.3,FL012,task_completed,,,CLEAN,
521.3,FL012,task_completed,,,CATERING,
521.3,FL013,task_completed,,,WATER,
525.0,FL015,gate_queued,c10,,,
525.0,FL015,gate_start,c10,0.0,,
526.3,FL013,task_completed,,,FUEL,
529.5,FL014,task_completed,,,WATER,
531.0,FL016,gate_queued,c9,,,
531.0,FL016,gate_start,c9,0.0,,
531.3,FL013,task_completed,,,BAGGAGE_OUT,
534.5,FL014,task_completed,,,FUEL,
535.6,FL015,task_completed,,,WATER,
536.3,FL013,task_completed,,,CLEAN,
536.3,FL013,task_completed,,,CATERING,
536.3,FL012,task_completed,,,BAGGAGE_IN,
536.3,FL012,task_completed,,,GPU,
536.3,FL012,gate_end,c7,,,40.299999999999955
539.5,FL014,task_completed,,,BAGGAGE_OUT,
540.6,FL015,task_completed,,,FUEL,
541.5,FL016,task_completed,,,WATER,
544.5,FL014,task_completed,,,CLEAN,
544.5,FL014,task_completed,,,CATERING,
545.6,FL015,task_completed,,,BAGGAGE_OUT,
546.5,FL016,task_completed,,,FUEL,
548.0,FL017,gate_queued,c7,,,
548.0,FL017,gate_start,c7,0.0,,
549.0,FL018,gate_queued,c4,,,
549.0,FL018,gate_start,c4,0.0,,
550.6,FL015,task_completed,,,CLEAN,
550.6,FL015,task_completed,,,CATERING,
551.3,FL013,task_completed,,,BAGGAGE_IN,
551.3,FL013,task_completed,,,GPU,
551.3,FL013,gate_end,c5,,,40.299999999999955
551.5,FL016,task_completed,,,BAGGAGE_OUT,
553.0,FL019,gate_queued,c11,,,
553.0,FL019,gate_start,c11,0.0,,
556.5,FL016,task_completed,,,CLEAN,
556.5,FL016,task_completed,,,CATERING,
558.3,FL017,task_completed,,,WATER,
559.5,FL014,task_completed,,,BAGGAGE_IN,
559.5,FL018,task_completed,,,WATER,
559.5,FL014,task_completed,,,GPU,
559.5,FL014,gate_end,c3,,,40.5
563.3,FL017,task_completed,,,FUEL,
563.7,FL019,task_completed,,,WATER,
564.5,FL018,task_completed,,,FUEL,
565.6,FL015,task_completed,,,BAGGAGE_IN,
565.6,FL015,task_completed,,,GPU,
565.6,FL015,gate_end,c10,,,40.60000000000002
568.3,FL017,task_completed,,,BAGGAGE_OUT,
568.7,FL019,task_completed,,,FUEL,
569.5,FL018,task_completed,,,BAGGAGE_OUT,
571.5,FL016,task_completed,,,BAGGAGE_IN,
571.5,FL016,task_completed,,,GPU,
571.5,FL016,gate_end,c9,,,40.5
573.3,FL017,task_completed,,,CLEAN,
573.3,FL017,task_completed,,,CATERING,
573.7,FL019,task_completed,,,BAGGAGE_OUT,
